Altium Designer Pick and Place Locations
C:\w\LS1-LS2\Altium\LS1-LS2\Project Outputs for LS1-LS2\Pick Place for LS1-LS2.csv

========================================================================================================================
File Design Information:

Date:       09/09/24
Time:       09:05
Revision:   1e1c19cf80afff85551d364a2f84ee3efa674e24
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P1","HYDROPHONE","TopLayer","HDR1X3","59.1820","-28.7020","270","Header, 3-Pin"
"C2","1uF","TopLayer","0402","53.7210","-10.0330","90","Ceramic Chip Capacitor - Standard"
"P12","GND Tie","TopLayer","HDR1X2","38.3540","-16.5100","180","Header, 2-Pin"
"C6","10uF","TopLayer","Tant0805","1.3970","-58.5470","180",""
"C7","0.1uF","TopLayer","0402","1.3970","-56.6420","0","Ceramic Chip Capacitor - Standard"
"C8","0.1uF","TopLayer","0402","52.7050","-0.7620","180","Ceramic Chip Capacitor - Standard"
"C9","10uF","TopLayer","Tant0805","47.2440","-6.2230","90",""
"C10","0.1uF","TopLayer","0402","45.3390","-6.2230","270","Ceramic Chip Capacitor - Standard"
"C11","1uF","TopLayer","0402","44.8310","0.8890","180","Ceramic Chip Capacitor - Standard"
"C12","0.01uF","TopLayer","0402","43.3070","-6.2230","270","Ceramic Chip Capacitor - Standard"
"C13","0.1uF","TopLayer","0402","49.4030","-5.9690","270","Ceramic Chip Capacitor - Standard"
"C14","10uF","TopLayer","Tant0805","50.2920","-26.1660","270",""
"C15","0.1uF","TopLayer","0402","51.9430","-26.1660","90","Ceramic Chip Capacitor - Standard"
"C16","1uF","TopLayer","0402","52.7050","-33.2740","0","Ceramic Chip Capacitor - Standard"
"C17","0.1uF","TopLayer","0402","58.6740","-6.4770","270","Ceramic Chip Capacitor - Standard"
"C18","0.01uF","TopLayer","0402","53.9750","-26.1660","90","Ceramic Chip Capacitor - Standard"
"C19","0.1uF","TopLayer","0402","51.3080","-10.0330","180","Ceramic Chip Capacitor - Standard"
"C20","10uF","TopLayer","Tant0805","60.9600","-3.6830","270",""
"C21","0.1uF","TopLayer","0402","62.6110","-3.6830","90","Ceramic Chip Capacitor - Standard"
"C22","1uF","TopLayer","0402","62.9920","-10.2870","0","Ceramic Chip Capacitor - Standard"
"C23","0.01uF","TopLayer","0402","64.5160","-3.9370","90","Ceramic Chip Capacitor - Standard"
"C24","1uF","TopLayer","0402","55.1180","-10.0330","90","Ceramic Chip Capacitor - Standard"
"C25","1uF","TopLayer","0402","59.5630","0.3810","0","Ceramic Chip Capacitor - Standard"
"C26","1uF","TopLayer","0402","52.7050","0.5080","180","Ceramic Chip Capacitor - Standard"
"P2","Header 2","TopLayer","HDR1X2","33.6550","-30.8610","270","Header, 2-Pin"
"P3","CoinCellHolder","BottomLayer","CoinCellHolder","15.3220","-34.1630","0",""
"P4","switch EG1218","TopLayer","HDR1X3","0.7620","-48.6410","270","Header, 3-Pin"
"P5","pushbutton","TopLayer","SOP4","53.8700","-67.4730","180",""
"P6","microSD Hirose","TopLayer","DM3D_microSD","24.1935","-63.3200","90",""
"P7","pushbutton","TopLayer","SOP4","41.8050","-67.4730","180",""
"P8","Display","TopLayer","HDR1X4","43.4340","-37.3380","0","Header, 4-Pin"
"P9","pushbutton","TopLayer","SOP4","65.9350","-67.4730","180",""
"P11","HYDROPHONE","TopLayer","HDR1X3","59.1820","-42.5450","270","Header, 3-Pin"
"R1","200k .01%","TopLayer","3-0603","0.2540","-27.0510","270","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R2","68k 0.05%","TopLayer","3-0603","1.7780","-27.0510","90","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R3","10k","TopLayer","3-0603","57.5310","-63.3730","180","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R4","10k","TopLayer","3-0603","20.0660","-49.6570","0","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R5","10k","TopLayer","3-0603","45.4660","-63.3730","180","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R6","10k","TopLayer","3-0603","68.9610","-63.2460","180","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"U3","LP3985IM5-3.3","TopLayer","MF05A_N","44.3230","-2.2860","270","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"U4","SGTL5000","TopLayer","QFN32","54.3560","-5.2070","0","SGTL5000"
"U5","LP3985IM5-3.3","TopLayer","MF05A_N","52.9590","-29.9760","90","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"U7","TLV70018DCKR","TopLayer","TI-DCK5_V","56.1340","1.0160","180","Single Output LDO, 200 mA, Fixed 1.8 V Output, 2 to 5.5 V Input, with Low IQ, 5-pin SC70 (DCK), -40 to 125 degC, Green (RoHS & no Sb/Br)"
"R8","4.7k","TopLayer","3-0603","9.2710","-23.6220","270","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R9","4.7k","TopLayer","3-0603","10.7950","-20.0660","270","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"U6","LP3985IM5-3.3","TopLayer","MF05A_N","63.6270","-7.4930","90","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"U2","DS3231","TopLayer","DS3231","4.1910","-14.4920","270",""
"C3","10uF","TopLayer","Tant0805","10.7950","-62.7380","270",""
"C4","2.2uF","TopLayer","0402","12.4460","-62.6110","90","Ceramic Chip Capacitor - Standard"
"C27","2.2uF","TopLayer","0402","8.2550","-58.9280","180","Ceramic Chip Capacitor - Standard"
"C28","0.01uF","TopLayer","0402","5.3340","-64.3890","270","Ceramic Chip Capacitor - Standard"
"U8","ADP1712AUJZ-3.3-R7","TopLayer","MF05A_N","8.0010","-61.9760","270","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"*1","XTAL_ABS06","TopLayer","XTAL-ABS06","27.3050","-5.7150","0",""
"C30","10uF","TopLayer","Tant0805","6.7310","-50.9270","0",""
"C31","2.2uF","TopLayer","0402","13.4620","-48.6410","90","Ceramic Chip Capacitor - Standard"
"C32","2.2uF","TopLayer","0402","6.7310","-49.2760","180","Ceramic Chip Capacitor - Standard"
"C33","0.01uF","TopLayer","0402","6.6959","-47.3797","180","Ceramic Chip Capacitor - Standard"
"D3","Shottky","TopLayer","DFLS130","7.4870","-0.7620","0",""
"P13","microUSB","TopLayer","microUSB-B","32.8870","-1.1230","180",""
"P14","20021121-00010C4LF","TopLayer","AMPHENOL_20021121-00010C4LF","22.7330","-1.7330","0","Conn Rect BrdtoBrd UnshroudedHeader 10Cnts SMT 1.27x1.27mmSpng"
"R10","DNP","TopLayer","3-0603","34.4170","-9.1440","90","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"U9","ADP1712AUJZ-3.3-R7","TopLayer","MF05A_N","10.7599","-48.3957","180","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"Y1","FA-20H_16.0000MF10Z-AJ3","TopLayer","XTAL_FA-20H_16.0000MF10Z-AJ3","16.8910","-6.8580","90","16 MHz �10ppm Crystal 8pF 80 Ohms 4-SMD, No Lead"
"U10","MK20DX256VLH7","TopLayer","QFP50P1200X1200X160-64N","24.6380","-15.1130","180","ARM®Cortex®-M4Kinetis K20微控制器IC 32位72MHz 256KB（256K x 8）FLASH 64-LQFP（10x10）"
"D1","LED_0603","TopLayer","Diode0603","33.6550","-64.7700","90",""
"R7","330X","TopLayer","3-0603","33.6550","-68.4530","90","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
